GEO	Type	Summary	Platform	Citation	Sample size	Year
GSE81292	Expression	Expression of mRNA from lung tissue from Systemic Sclerosis patients with interstitial lung disease (SSc-ILD) and healthy controls (HC)	[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array [HGU133A2_Hs_ENTREZG_16.0.0]	Christmann RB, Wooten A, Sampaio-Barros P, Borges CL et al. miR-155 in the progression of lung fibrosis in systemic sclerosis. Arthritis Res Ther 2016 Jul 5;18(1):155. PMID: 27377409	20	2016
GSE73674	Expression	EPC-derived endothelial cells were isolated from peripheral blood of PAH-SSc patients, SSc patients without PAH and healthy control for RNA extraction and hybridization on Affymetrix microarrays. Gene expression profiles of EPC-derived endothelial cells were determined in basal conditions and also after hypoxic exposure.	Affymetrix Human Exon 1.0 ST Array [CDF: HuEx10stv2_Hs_ENTREZG.cdf, Brainarray v16.0.0]	Missing	70	2016
GSE66321	Expression	Gene expression changes reflect clinical response in a placebo-controlled randomized trial of abatacept in patients with diffuse cutaneous systemic sclerosis	Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)	Chakravarty EF, Martyanov V, Fiorentino D, Wood TA et al. Gene expression changes reflect clinical response in a placebo-controlled randomized trial of abatacept in patients with diffuse cutaneous systemic sclerosis. Arthritis Res Ther 2015 Jun 13;17:159. PMID: 26071192	16	2016
GSE65405	Expression	In this open-label pilot trial 6 adult patients with early dcSSc received nilotinib. Primary endpoints were safety and change in modified Rodnan Skin Score (MRSS) after 6 months. Lesional skin biopsies at baseline, 6 and 12 months of treatment were assessed by histopathology, immunohistochemistry, and DNA microarray.	Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)	Gordon JK, Martyanov V, Magro C, Wildman HF et al. Nilotinib (Tasigna™) in the treatment of early diffuse systemic sclerosis: an open-label, pilot clinical trial. Arthritis Res Ther 2015 Aug 18;17:213. PMID: 26283632	12	2016
GSE68698	Expression	Molecular characterization of systemic sclerosis esophageal pathology identifies inflammatory and proliferative signatures	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	Taroni JN, Martyanov V, Huang CC, Mahoney JM et al. Molecular characterization of systemic sclerosis esophageal pathology identifies inflammatory and proliferative signatures. Arthritis Res Ther 2015 Jul 29;17:194. PMID: 26220546	46	2015
GSE65336	Expression	Suppression of T Cell Activation and Collagen Accumulation by an Anti-IFNAR1 mAb, Anifrolumab, in Adult Patients with Systemic Sclerosis	Affymetrix Human Genome U133 Plus 2.0 Array	Guo X, Higgs BW, Bay-Jensen AC, Karsdal MA et al. Suppression of T Cell Activation and Collagen Accumulation by an Anti-IFNAR1 mAb, Anifrolumab, in Adult Patients with Systemic Sclerosis. J Invest Dermatol 2015 Oct;135(10):2402-2409. PMID: 25993119	78	2015
GSE58095	Expression	Dissecting the heterogeneity of skin gene expression patterns in systemic sclerosis.	Illumina HumanHT-12 V4.0 expression beadchip	Assassi S, Swindell WR, Wu M, Tan FD et al. Dissecting the heterogeneity of skin gene expression patterns in systemic sclerosis. Arthritis Rheumatol 2015 Nov;67(11):3016-26. PMID: 26238292	102	2015
GSE55036	Expression	Expression data from skin biopsies in pateints with systemic sclerosis treated with anti-TGF-beta, fresolimumab	Affymetrix Human Genome U133A 2.0 Array	Missing	53	2015
GSE63903	Expression	We first purified effector memory CD8+ T cells (CD3+CD8+CD45RO+CD62L+ cells) from peripheral blood by cell sorting and subsequently performed cDNA microarray analysis of the sort-purified effector memory CD8+ T cells from 9 SSc patients and 5 healthy controls.	Illumina HumanHT-12 V4.0 expression beadchip	Ayano M, Tsukamoto H, Kohno K, Ueda N et al. Increased CD226 Expression on CD8+ T Cells Is Associated with Upregulated Cytokine Production and Endothelial Cell Injury in Patients with Systemic Sclerosis. J Immunol 2015 Aug 1;195(3):892-900. PMID: 26109642	14	2014
GSE59785	Expression	Longitudinal SSc patient biopsies and controls were integrated into 83 sample dataset totaling 165 arrays for gene expression and analysis	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	Hinchcliff M, Huang CC, Wood TA, Matthew Mahoney J et al. Molecular signatures in skin associated with clinical improvement during mycophenolate treatment in systemic sclerosis. J Invest Dermatol 2013 Aug;133(8):1979-89. PMID: 23677167	82	2014
GSE48149	Expression	Lung tissues in systemic sclerosis have gene expression patterns unique to pulmonary fibrosis and pulmonary hypertension	Illumina HumanRef-8 v3.0 expression beadchip (Search Key version)	Missing	53	2013
GSE47162	Expression	Skin biopsy samples from 59 patients enrolled in the GENISOS cohort or an open label imatinib study were examined by global gene expression studies.	Illumina HumanHT-12 V4.0 expression beadchip	Assassi S, Wu M, Tan FK, Chang J et al. Skin gene expression correlates of severity of interstitial lung disease in systemic sclerosis. Arthritis Rheum 2013 Nov;65(11):2917-27. PMID: 23897225	59	2013
GSE45485	Expression	Molecular Signatures in Skin Associated with Clinical Improvement During Mycophenolate Treatment in Systemic Sclerosis	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	Hinchcliff M, Huang CC, Wood TA, Matthew Mahoney J et al. Molecular signatures in skin associated with clinical improvement during mycophenolate treatment in systemic sclerosis. J Invest Dermatol 2013 Aug;133(8):1979-89. PMID: 23677167	83	2013
GSE40839	Expression	Analysis of lung fibroblasts isolated from biopsies, taken at the time of diagnosis, from patients with well-defined pulmonary fibrosis associated with systemic sclerosis (SSc-ILD). Results provide insight into the molecular mechanisms underlying the fibrotic fibroblast phenotype in SSc-ILD.	Affymetrix Human Genome U133A Array	Lindahl GE, Stock CJ, Shi-Wen X, Leoni P et al. Microarray profiling reveals suppressed interferon stimulated gene program in fibroblasts from scleroderma-associated interstitial lung disease. Respir Res 2013 Aug 2;14:80. PMID: 23915349	21	2013
GSE33463	Expression	Analysis of PBMCs from patients with idiopathic pulmonary arterial hypertension (IPAH), systemic sclerosis (SSc), SSc associated PAH (SSc-PAH), and SSc complicated by interstitial lung disease and PH (SSc-PH-ILD). Results provide insight into the molecular basis of the various disease groups.	Illumina HumanHT-12 V3.0 expression beadchip	Cheadle C, Berger AE, Mathai SC, Grigoryev DN et al. Erythroid-specific transcriptional changes in PBMCs from pulmonary hypertension patients. PLoS One2012;7(4):e34951. PMID: 22545094	140	2012
GSE32413	Expression	Stable gene expression of serial skin biopsies defines patient subsets in diffuse cutaneous systemic sclerosis	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version)	Pendergrass SA, Lemaire R, Francis IP, Mahoney JM et al. Intrinsic gene expression subsets of diffuse cutaneous systemic sclerosis are stable in serial skin biopsies. J Invest Dermatol 2012 May;132(5):1363-73. PMID: 22318389	89	2012
GSE23741	Expression	Expression data from untreated and rottlerin-treated normal and systemic sclerosis-derived human fibroblasts	Affymetrix Human Genome U133 Plus 2.0 Array	Missing	12	2010
GSE22356	Expression	Analysis of PBMCs from scleroderma patients with pulmonary arterial hypertension (PAH). PAH is a common, potentially fatal complication of chronic systemic scleroderma. Results provide insight into the molecular mechanisms underlying scleroderma-related PAH.	 Affymetrix Human Genome U133 Plus 2.0 Array	Risbano MG, Meadows CA, Coldren CD, Jenkins TJ et al. Altered immune phenotype in peripheral blood cells of patients with scleroderma-associated pulmonary hypertension. Clin Transl Sci 2010 Oct;3(5):210-8. PMID: 20973920	38	2010
GSE19617	Expression	Limited systemic sclerosis patients with PAH show biomarkers of inflammation and vascular injury	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	Pendergrass SA, Hayes E, Farina G, Lemaire R et al. Limited systemic sclerosis patients with pulmonary arterial hypertension show biomarkers of inflammation and vascular injury. PLoS One 2010 Aug 17;5(8):e12106. PMID: 20808962	54	2010
GSE9285	Expression	Gene Expression Profiling of Scleroderma Skin	Whole Human Genome Oligo Microarray G4112A	Milano A, Pendergrass SA, Sargent JL, George LK et al. Molecular subsets in the gene expression signatures of scleroderma skin. PLoS One 2008 Jul 16;3(7):e2696. PMID: 18648520	75	2008
